title,answer_1,answer_2,answer_3,right_answer
Are you happiest when you get involved in some project that calls for immediate and rapid activity?,Yes,Maybe,No,Yes
Do you become restless when working at something and little action is occurring?,Yes,Maybe,No,Yes
When climbing stairs do you usually take them two at a time?,Yes,Maybe,No,Yes
Are you inclined to be slow and deliberate in your actions?,Yes,Maybe,No,No
Do you usually finish your meals before other people even though there is no reason to hurry?,Yes,Maybe,No,Yes
Do other people regard you as a very lively person?,Yes,Maybe,No,Yes
"Are you always on the go"" when not actually sleeping?""",Yes,Maybe,No,Yes
Do you like organizing and initiating leisure activities?,Yes,Maybe,No,Yes
"When driving a car, do you get very frustrated by slow-moving traffic?",Yes,Maybe,No,Yes
Are you generally very enthusiastic about starting a new project or undertaking?,Yes,Maybe,No,Yes
"When you are walking with other people, do they often have difficulty keeping up with you?",Yes,Maybe,No,Yes
"At work or at play, do other people find it hard to keep up with the pace you set?",Yes,Maybe,No,Yes
Are you inclined to rush from one activity to another without pausing for rest?,Yes,Maybe,No,Yes
"Do you often find yourself hurrying to get to places, even when there is plenty of time?",Yes,Maybe,No,Yes
Are you frequently lacking in energy and motivation to do things?,Yes,Maybe,No,No
Do you like to lie in bed late at the weekends?,Yes,Maybe,No,No
Do you prefer holidays that are quiet and restful without a great deal of rushing about?,Yes,Maybe,No,No
Do you generally move about at a leisurely pace?,Yes,Maybe,No,No
"When you wake up in the morning are you usually ready to get cracking""?""",Yes,Maybe,No,Yes
Are you usually full of pep and vigor?,Yes,Maybe,No,Yes
Do you often feel tired and listless?,Yes,Maybe,No,No
Do you like to have a lot of things to do all the time?,Yes,Maybe,No,Yes
Do other people seem to get more done in a day than you?,Yes,Maybe,No,No
"Most days, are there times when you enjoy just sitting and doing nothing?",Yes,Maybe,No,No
Would you rather watch sports than play them?,Yes,Maybe,No,No
Do you frequently take a nap in the middle of the day?,Yes,Maybe,No,No
Do you get agitated if you have to wait for someone?,Yes,Maybe,No,Yes
"If you had to wait a few minutes for the lift, would you prefer to use the stairs instead?",Yes,Maybe,No,Yes
"Normally, do you tend to do things as quickly as you can?",Yes,Maybe,No,Yes
Do you often feel bubbling over with excess energy?,Yes,Maybe,No,Yes
